countrycode,countryname,currency,Region,incomegroup
ABW,Aruba,Aruban florin,Latin America & Caribbean,High income
AFE,Africa Eastern and Southern,,,
AFG,Afghanistan,Afghan afghani,South Asia,Low income
AFW,Africa Western and Central,,,
AGO,Angola,Angolan kwanza,Sub-Saharan Africa,Lower middle income
ALB,Albania,Albanian lek,Europe & Central Asia,Upper middle income
AND,Andorra,Euro,Europe & Central Asia,High income
ARB,Arab World,,,
ARE,United Arab Emirates,U.A.E. dirham,Middle East & North Africa,High income
ARG,Argentina,Argentine peso,Latin America & Caribbean,Upper middle income
ARM,Armenia,Armenian dram,Europe & Central Asia,Upper middle income
ASM,American Samoa,U.S. dollar,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,East Caribbean dollar,Latin America & Caribbean,High income
AUS,Australia,Australian dollar,East Asia & Pacific,High income
AUT,Austria,Euro,Europe & Central Asia,High income
AZE,Azerbaijan,New Azeri manat,Europe & Central Asia,Upper middle income
BDI,Burundi,Burundi franc,Sub-Saharan Africa,Low income
BEL,Belgium,Euro,Europe & Central Asia,High income
BEN,Benin,West African CFA franc,Sub-Saharan Africa,Lower middle income
BFA,Burkina Faso,West African CFA franc,Sub-Saharan Africa,Low income
BGD,Bangladesh,Bangladeshi taka,South Asia,Lower middle income
BGR,Bulgaria,Bulgarian lev,Europe & Central Asia,Upper middle income
BHR,Bahrain,Bahraini dinar,Middle East & North Africa,High income
BHS,The Bahamas,Bahamian dollar,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Upper middle income
BLR,Belarus,Belarusian rubel,Europe & Central Asia,Upper middle income
BLZ,Belize,Belize dollar,Latin America & Caribbean,Lower middle income
BMU,Bermuda,Bermuda dollar,North America,High income
BOL,Bolivia,Bolivian Boliviano,Latin America & Caribbean,Lower middle income
BRA,Brazil,Brazilian real,Latin America & Caribbean,Upper middle income
BRB,Barbados,Barbados dollar,Latin America & Caribbean,High income
BRN,Brunei,Brunei dollar,East Asia & Pacific,High income
BTN,Bhutan,Bhutanese ngultrum,South Asia,Lower middle income
BWA,Botswana,Botswana pula,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Central African CFA franc,Sub-Saharan Africa,Low income
CAN,Canada,Canadian dollar,North America,High income
CEB,Central Europe and the Baltics,,,
CHE,Switzerland,Swiss franc,Europe & Central Asia,High income
CHI,Channel Islands,Pound sterling,Europe & Central Asia,High income
CHL,Chile,Chilean peso,Latin America & Caribbean,High income
CHN,China,Chinese yuan,East Asia & Pacific,Upper middle income
CIV,Côte d'Ivoire,West African CFA franc,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Central African CFA franc,Sub-Saharan Africa,Lower middle income
COD,Dem. Rep. Congo,Congolese franc,Sub-Saharan Africa,Low income
COG,Congo,Central African CFA franc,Sub-Saharan Africa,Lower middle income
COL,Colombia,Colombian peso,Latin America & Caribbean,Upper middle income
COM,Comoros,Comorian franc,Sub-Saharan Africa,Lower middle income
CPV,Cabo Verde,Cabo Verde escudo,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Costa Rican colon,Latin America & Caribbean,Upper middle income
CSS,Caribbean small states,,,
CUB,Cuba,Cuban peso,Latin America & Caribbean,Upper middle income
CUW,Curaçao,Netherlands Antillean guilder,Latin America & Caribbean,High income
CYM,Cayman Islands,Cayman Islands dollar,Latin America & Caribbean,High income
CYP,Cyprus,Euro,Europe & Central Asia,High income
CZE,Czech Republic,Czech koruna,Europe & Central Asia,High income
DEU,Germany,Euro,Europe & Central Asia,High income
DJI,Djibouti,Djibouti franc,Middle East & North Africa,Lower middle income
DMA,Dominica,East Caribbean dollar,Latin America & Caribbean,Upper middle income
DNK,Denmark,Danish krone,Europe & Central Asia,High income
DOM,Dominican Republic,Dominican peso,Latin America & Caribbean,Upper middle income
DZA,Algeria,Algerian dinar,Middle East & North Africa,Lower middle income
EAP,East Asia & Pacific (excluding high income),,,
EAR,Early-demographic dividend,,,
EAS,East Asia & Pacific,,,
ECA,Europe & Central Asia (excluding high income),,,
ECS,Europe & Central Asia,,,
ECU,Ecuador,U.S. dollar,Latin America & Caribbean,Upper middle income
EGY,Egypt,Egyptian pound,Middle East & North Africa,Lower middle income
EMU,Euro area,,,
ERI,Eritrea,Eritrean nakfa,Sub-Saharan Africa,Low income
ESP,Spain,Euro,Europe & Central Asia,High income
EST,Estonia,Euro,Europe & Central Asia,High income
ETH,Ethiopia,Ethiopian birr,Sub-Saharan Africa,Low income
EUU,European Union,,,
FCS,Fragile and conflict affected situations,,,
FIN,Finland,Euro,Europe & Central Asia,High income
FJI,Fiji,Fijian dollar,East Asia & Pacific,Upper middle income
FRA,France,Euro,Europe & Central Asia,High income
FRO,Faroe Islands,Danish krone,Europe & Central Asia,High income
FSM,Micronesia,U.S. dollar,East Asia & Pacific,Lower middle income
GAB,Gabon,Central African CFA franc,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,Pound sterling,Europe & Central Asia,High income
GEO,Georgia,Georgian lari,Europe & Central Asia,Upper middle income
GHA,Ghana,New Ghanaian cedi,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,Gibraltar pound,Europe & Central Asia,High income
GIN,Guinea,Guinean franc,Sub-Saharan Africa,Low income
GMB,The Gambia,Gambian dalasi,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,West African CFA franc,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,Central African CFA franc,Sub-Saharan Africa,Upper middle income
GRC,Greece,Euro,Europe & Central Asia,High income
GRD,Grenada,East Caribbean dollar,Latin America & Caribbean,Upper middle income
GRL,Greenland,Danish krone,Europe & Central Asia,High income
GTM,Guatemala,Guatemalan quetzal,Latin America & Caribbean,Upper middle income
GUM,Guam,U.S. dollar,East Asia & Pacific,High income
GUY,Guyana,Guyana dollar,Latin America & Caribbean,Upper middle income
HIC,High income,,,
HKG,"Hong Kong SAR, China",Hong Kong dollar,East Asia & Pacific,High income
HND,Honduras,Honduran lempira,Latin America & Caribbean,Lower middle income
HPC,Heavily indebted poor countries (HIPC),,,
HRV,Croatia,Croatian kuna,Europe & Central Asia,High income
HTI,Haiti,Haitian gourde,Latin America & Caribbean,Lower middle income
HUN,Hungary,Hungarian forint,Europe & Central Asia,High income
IBD,IBRD only,,,
IBT,IDA & IBRD total,,,
IDA,IDA total,,,
IDB,IDA blend,,,
IDN,Indonesia,Indonesian rupiah,East Asia & Pacific,Lower middle income
IDX,IDA only,,,
IMN,Isle of Man,Pound sterling,Europe & Central Asia,High income
IND,India,Indian rupee,South Asia,Lower middle income
IRL,Ireland,Euro,Europe & Central Asia,High income
IRN,Iran,Iranian rial,Middle East & North Africa,Lower middle income
IRQ,Iraq,Iraqi dinar,Middle East & North Africa,Upper middle income
ISL,Iceland,Iceland krona,Europe & Central Asia,High income
ISR,Israel,Israeli new shekel,Middle East & North Africa,High income
ITA,Italy,Euro,Europe & Central Asia,High income
JAM,Jamaica,Jamaican dollar,Latin America & Caribbean,Upper middle income
JOR,Jordan,Jordanian dinar,Middle East & North Africa,Upper middle income
JPN,Japan,Japanese yen,East Asia & Pacific,High income
KAZ,Kazakhstan,Kazakh tenge,Europe & Central Asia,Upper middle income
KEN,Kenya,Kenyan shilling,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyz Republic,Kyrgyz som,Europe & Central Asia,Lower middle income
KHM,Cambodia,Cambodian riel,East Asia & Pacific,Lower middle income
KIR,Kiribati,Australian dollar,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,East Caribbean dollar,Latin America & Caribbean,High income
KOR,Korea,Korean won,East Asia & Pacific,High income
KWT,Kuwait,Kuwaiti dinar,Middle East & North Africa,High income
LAC,Latin America & Caribbean (excluding high income),,,
LAO,Lao PDR,Lao kip,East Asia & Pacific,Lower middle income
LBN,Lebanon,Lebanese pound,Middle East & North Africa,Upper middle income
LBR,Liberia,U.S. dollar,Sub-Saharan Africa,Low income
LBY,Libya,Libyan dinar,Middle East & North Africa,Upper middle income
LCA,St. Lucia,East Caribbean dollar,Latin America & Caribbean,Upper middle income
LCN,Latin America & Caribbean,,,
LDC,Least developed countries: UN classification,,,
LIC,Low income,,,
LIE,Liechtenstein,Swiss franc,Europe & Central Asia,High income
LKA,Sri Lanka,Sri Lankan rupee,South Asia,Lower middle income
LMC,Lower middle income,,,
LMY,Low & middle income,,,
LSO,Lesotho,Lesotho loti,Sub-Saharan Africa,Lower middle income
LTE,Late-demographic dividend,,,
LTU,Lithuania,Euro,Europe & Central Asia,High income
LUX,Luxembourg,Euro,Europe & Central Asia,High income
LVA,Latvia,Euro,Europe & Central Asia,High income
MAC,"Macao SAR, China",Macao pataca,East Asia & Pacific,High income
MAF,St. Martin (French part),Euro,Latin America & Caribbean,High income
MAR,Morocco,Moroccan dirham,Middle East & North Africa,Lower middle income
MCO,Monaco,Euro,Europe & Central Asia,High income
MDA,Moldova,Moldovan leu,Europe & Central Asia,Upper middle income
MDG,Madagascar,Malagasy ariary,Sub-Saharan Africa,Low income
