Name,Quarter,Year
January,1,2005
February,1,2005
March,1,2005
April,2,2005
May,2,2005
June,2,2005
July,3,2005
August,3,2005
September,3,2005
October,4,2005
November,4,2005
December,4,2005
January,1,2006
February,1,2006
March,1,2006
April,2,2006
May,2,2006
June,2,2006
July,3,2006
August,3,2006
September,3,2006
October,4,2006
November,4,2006
December,4,2006
January,1,2007
February,1,2007
March,1,2007
April,2,2007
May,2,2007
June,2,2007
July,3,2007
August,3,2007
September,3,2007
October,4,2007
November,4,2007
December,4,2007
January,1,2008
February,1,2008
March,1,2008
April,2,2008
May,2,2008
June,2,2008
July,3,2008
August,3,2008
September,3,2008
October,4,2008
November,4,2008
December,4,2008
January,1,2009
February,1,2009
March,1,2009
April,2,2009
May,2,2009
June,2,2009
July,3,2009
August,3,2009
September,3,2009
October,4,2009
November,4,2009
December,4,2009
January,1,2010
February,1,2010
March,1,2010
April,2,2010
May,2,2010
June,2,2010
July,3,2010
August,3,2010
September,3,2010
October,4,2010
November,4,2010
December,4,2010
January,1,2011
February,1,2011
March,1,2011
April,2,2011
May,2,2011
June,2,2011
July,3,2011
August,3,2011
September,3,2011
October,4,2011
November,4,2011
December,4,2011
January,1,2012
February,1,2012
March,1,2012
April,2,2012
May,2,2012
June,2,2012
July,3,2012
August,3,2012
September,3,2012
October,4,2012
November,4,2012
December,4,2012
January,1,2013
February,1,2013
March,1,2013
April,2,2013
May,2,2013
June,2,2013
July,3,2013
August,3,2013
September,3,2013
October,4,2013
November,4,2013
December,4,2013
January,1,2014
February,1,2014
March,1,2014
April,2,2014
May,2,2014
June,2,2014
July,3,2014
August,3,2014
September,3,2014
October,4,2014
November,4,2014
December,4,2014
January,1,2015
February,1,2015
March,1,2015
April,2,2015
May,2,2015
June,2,2015
July,3,2015
August,3,2015
September,3,2015
October,4,2015
November,4,2015
December,4,2015
January,1,2016
February,1,2016
March,1,2016
April,2,2016
May,2,2016
June,2,2016
July,3,2016
August,3,2016
September,3,2016
October,4,2016
November,4,2016
December,4,2016
January,1,2017
February,1,2017
March,1,2017
April,2,2017
May,2,2017
June,2,2017
July,3,2017
August,3,2017
September,3,2017
October,4,2017
November,4,2017
December,4,2017
January,1,2018
February,1,2018
March,1,2018
April,2,2018
May,2,2018
June,2,2018
July,3,2018
August,3,2018
September,3,2018
October,4,2018
November,4,2018
December,4,2018
January,1,2019
February,1,2019
March,1,2019
April,2,2019
May,2,2019
June,2,2019
July,3,2019
August,3,2019
September,3,2019
October,4,2019
November,4,2019
December,4,2019
January,1,2020
February,1,2020
March,1,2020
April,2,2020
May,2,2020
June,2,2020
July,3,2020
August,3,2020
September,3,2020
October,4,2020
November,4,2020
December,4,2020
