countryName,countryCode,yr_2005,yr_2006,yr_2007,yr_2008,yr_2009,yr_2010,yr_2011,yr_2012,yr_2013,yr_2014,yr_2015,yr_2016,yr_2017,yr_2018,yr_2019,yr_2020
Afghanistan,AFG,0.16,0.16,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.18,0.25,0.25,0.25,0.25,0.25,0.25
Albania,ALB,0.46,0.46,0.51,0.51,0.51,0.53,0.53,0.53,0.53,0.53,0.59,0.59,0.59,0.59,0.59,0.59
Algeria,DZA,0.39,0.39,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.41,0.45,0.45,0.45,0.45,0.45,0.45
Angola,AGO,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.27,0.27,0.27,0.27,0.27,0.27
Argentina,ARG,0.61,0.61,0.63,0.63,0.63,0.65,0.65,0.65,0.65,0.65,0.7,0.7,0.7,0.7,0.7,0.7
Armenia,ARM,0.54,0.54,0.56,0.56,0.56,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58
Australia,AUS,0.84,0.84,0.85,0.85,0.85,0.87,0.87,0.87,0.87,0.87,0.89,0.89,0.89,0.89,0.89,0.89
Austria,AUT,0.71,0.71,0.72,0.72,0.72,0.74,0.74,0.74,0.74,0.74,0.79,0.79,0.79,0.79,0.79,0.79
Azerbaijan,AZE,0.47,0.47,0.5,0.5,0.5,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
Bahamas,BHS,0.52,0.52,0.53,0.53,0.53,0.57,0.57,0.57,0.57,0.57,0.58,0.58,0.58,0.58,0.58,0.58
Bahrain,BHR,0.51,0.51,0.53,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.57,0.57,0.57,0.57,0.57,0.57
Bangladesh,BGD,0.24,0.24,0.27,0.27,0.27,0.29,0.29,0.29,0.29,0.29,0.33,0.33,0.33,0.33,0.33,0.33
Barbados,BRB,0.62,0.62,0.67,0.67,0.67,0.7,0.7,0.7,0.7,0.7,0.66,0.66,0.66,0.66,0.66,0.66
Belarus,BLR,0.63,0.63,0.58,0.58,0.58,0.6,0.6,0.6,0.6,0.6,0.67,0.67,0.67,0.67,0.67,0.67
Belgium,BEL,0.79,0.79,0.74,0.74,0.74,0.79,0.79,0.79,0.79,0.79,0.84,0.84,0.84,0.84,0.84,0.84
Belize,BLZ,0.51,0.51,0.46,0.46,0.46,0.49,0.49,0.49,0.49,0.49,0.43,0.43,0.43,0.43,0.43,0.43
Benin,BEN,0.24,0.24,0.22,0.22,0.22,0.25,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.26,0.26
Bolivia,BOL,0.41,0.41,0.41,0.41,0.41,0.43,0.43,0.43,0.43,0.43,0.47,0.47,0.47,0.47,0.47,0.47
Botswana,BWA,0.31,0.31,0.33,0.33,0.33,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.4,0.4
Brazil,BRA,0.49,0.49,0.49,0.49,0.49,0.51,0.51,0.51,0.51,0.51,0.54,0.54,0.54,0.54,0.54,0.54
Brunei,BRN,0.52,0.52,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.58,0.58,0.58,0.58,0.58,0.58
Bulgaria,BGR,0.53,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.59,0.59,0.59,0.59,0.59,0.59
Burkina Faso,BFA,0.16,0.16,0.17,0.17,0.17,0.19,0.19,0.19,0.19,0.19,0.22,0.22,0.22,0.22,0.22,0.22
Burundi,BDI,0.16,0.16,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.22,0.25,0.25,0.25,0.25,0.25,0.25
Cambodia,KHM,0.29,0.29,0.31,0.31,0.31,0.32,0.32,0.32,0.32,0.32,0.37,0.37,0.37,0.37,0.37,0.37
Cameroon,CMR,0.24,0.24,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.24,0.28,0.28,0.28,0.28,0.28,0.28
Canada,CAN,0.82,0.82,0.83,0.83,0.83,0.85,0.85,0.85,0.85,0.85,0.88,0.88,0.88,0.88,0.88,0.88
Cape Verde,CPV,0.39,0.39,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.46,0.46,0.46,0.46,0.46,0.46
Central African Republic,CAF,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Chad,TCD,0.15,0.15,0.16,0.16,0.16,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19
Chile,CHL,0.61,0.61,0.66,0.66,0.66,0.65,0.65,0.65,0.65,0.65,0.74,0.74,0.74,0.74,0.74,0.74
China,CHN,0.42,0.42,0.46,0.46,0.46,0.48,0.48,0.48,0.48,0.48,0.54,0.54,0.54,0.54,0.54,0.54
Colombia,COL,0.48,0.48,0.5,0.5,0.5,0.53,0.53,0.53,0.53,0.53,0.55,0.55,0.55,0.55,0.55,0.55
Comoros,COM,0.25,0.25,0.26,0.26,0.26,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Congo,COG,0.29,0.29,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.29,0.34,0.34,0.34,0.34,0.34,0.34
Costa Rica,CRI,0.57,0.57,0.58,0.58,0.58,0.62,0.62,0.62,0.62,0.62,0.67,0.67,0.67,0.67,0.67,0.67
Cote d'Ivoire,CIV,0.22,0.22,0.21,0.21,0.21,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.22,0.22,0.22,0.22
Croatia,HRV,0.56,0.56,0.59,0.59,0.59,0.6,0.6,0.6,0.6,0.6,0.63,0.63,0.63,0.63,0.63,0.63
