Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Canada,CAN,73.03554535,69.435112,69.58927917,69.75228882,70.17884064,69.90503693,70.21539307,70.44465637,70.7170639,70.56432343,70.62810516,69.65316772,69.79706573,70.16950989,70.16747284,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,United States,USA,45.39122772,46.26139069,46.34472275,47.49931717,48.51221466,48.86313248,48.94212341,48.84257889,49.46422958,50.69041824,51.15266418,50.80243301,50.6502037,50.77178955,50.84327316,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Brazil,BRA,41.6314621,42.92739487,42.48596573,43.74353027,44.16326523,45.02125549,44.49915695,43.36180878,44.51945877,44.05274582,43.25646591,43.06282806,41.73838043,41.09182358,40.74078369,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Mexico,MEX,42.23654556,42.82709122,43.81832123,45.91358185,46.66846848,50.21875,52.80387878,53.08211899,53.75115967,52.08169937,52.20096588,51.27971649,50.53536987,49.67456055,49.307724,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Niger,NER,33.8276062,35.4354248,27.86895943,29.68548775,28.85042953,26.12587166,26.10781479,24.14341927,30.01208878,28.67515373,20.7880249,24.28881836,33.80760956,33.31208038,35.69034195,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Syrian Arab Republic,SYR,50.34679031,46.96702957,47.33362961,46.14907074,44.86793137,44.79366684,45.19852448,45.28663635,..,..,..,..,..,..,..,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,South Africa,ZAF,40.00241852,46.9732132,47.79261017,47.35287857,49.7391243,51.3285141,51.8671875,51.72668076,51.15374756,55.56298065,57.07822418,56.60218048,57.11715317,57.29660797,58.76000977,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,"Congo, Dem. Rep.",COD,5.12782812,5.15119457,5.61059999,5.84641886,6.85446548,10.3062582,10.8527813,16.13481903,13.97492123,13.8438139,16.67854691,12.62530518,9.94900703,15.07837772,15.8180418,..
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,Thailand,THA,63.71009445,71.95246124,75.60998535,75.36881256,73.1287384,73.77249908,76.42584229,76.07963562,75.95276642,75.68395233,74.93961334,75.95375061,71.96782684,70.46959686,71.65899658,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Canada,CAN,3.1,3.02,2.96,2.85,2.8,2.78,2.8,2.79,2.72,2.67,2.62,2.6,2.53,2.55,2.52,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,United States,USA,3.2,3.18,3.14,3.13,3.08,3.05,2.97,2.93,2.89,2.83,2.8,2.77,2.87,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Brazil,BRA,2.52,2.48,2.47,2.44,2.43,2.37,2.31,2.27,2.25,2.22,2.15,2.11,2.09,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Mexico,MEX,1.05,1.02,1.06,1.03,1.02,1.05,1.04,1.03,1.03,1.03,1,1,0.99,0.98,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Niger,NER,0.3,..,..,..,..,0.35,..,..,..,..,0.31,..,0.39,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Syrian Arab Republic,SYR,1.28,1.47,1.47,1.54,1.51,1.54,1.55,1.53,1.52,1.5,1.47,1.46,1.4,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,South Africa,ZAF,2.8,..,2.41,2.39,..,2.3,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,"Congo, Dem. Rep.",COD,1.1,0.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,Thailand,THA,2.1,..,..,..,..,2.1,..,..,..,..,..,..,..,..,..,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Canada,CAN,14,14,14,28,42,56,70,70,55,55,69,70,71,71,74,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,United States,USA,93,93,93,94,92,92,91,90,91,92,92,93,93,91,91,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Brazil,BRA,98,99,99,96,99,96,98,96,96,96,96,89,93,93,80,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Mexico,MEX,98,98,98,97,95,93,98,99,82,84,82,93,58,55,56,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Niger,NER,..,..,..,..,71,70,75,71,73,81,84,80,85,79,81,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Syrian Arab Republic,SYR,83,83,83,83,84,84,66,43,71,47,41,42,48,47,54,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,South Africa,ZAF,79,83,83,76,74,71,76,70,73,85,85,76,76,74,77,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,"Congo, Dem. Rep.",COD,..,..,70,65,72,60,74,75,68,68,63,57,57,57,57,..
"Immunization, HepB3 (% of one-year-old children)",SH.IMM.HEPB,Thailand,THA,96,96,96,98,98,98,98,98,99,99,99,99,99,97,97,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Canada,CAN,93,95,94,92,91,89,87,91,91,91,91,91,91,91,91,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,United States,USA,96,96,96,96,95,95,96,94,94,95,95,95,95,94,94,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Brazil,BRA,99,99,99,99,99,99,99,95,97,93,96,89,89,87,73,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Niger,NER,45,51,57,67,71,70,75,71,73,81,84,80,85,79,81,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Syrian Arab Republic,SYR,80,80,80,79,80,80,72,45,41,43,41,42,48,47,54,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,South Africa,ZAF,81,84,85,82,81,77,75,71,81,85,85,76,76,74,77,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,"Congo, Dem. Rep.",COD,60,62,70,65,72,60,74,75,68,68,63,57,57,57,57,..
"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,Thailand,THA,98,98,98,99,99,99,99,99,99,99,99,99,99,97,97,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Canada,CAN,93,95,99,96,93,90,87,91,91,91,91,91,91,91,91,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,United States,USA,92,93,93,94,93,93,94,93,93,93,93,94,94,93,93,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Brazil,BRA,99,99,99,99,99,99,98,96,96,96,98,72,75,85,85,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,96,85,88,82,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Niger,NER,46,52,57,68,71,75,40,71,62,79,83,82,85,79,81,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Syrian Arab Republic,SYR,83,83,83,83,83,83,60,47,50,52,50,48,53,53,60,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,South Africa,ZAF,75,79,79,77,75,72,71,69,79,85,85,76,76,74,77,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,"Congo, Dem. Rep.",COD,60,62,72,64,78,76,77,73,66,68,63,57,59,59,59,..
"Immunization, Pol3 (% of one-year-old children)",SH.IMM.POL3,Thailand,THA,98,98,98,99,99,99,99,99,99,99,99,99,99,97,97,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Canada,CAN,93,95,93,92,91,90,89,90,91,91,91,91,91,91,91,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,United States,USA,94,93,93,91,84,90,94,93,93,93,93,93,93,92,91,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Brazil,BRA,96,97,98,99,99,99,99,95,98,95,96,89,93,83,80,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Mexico,MEX,98,98,98,96,95,95,97,99,83,87,87,93,85,88,82,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Niger,NER,..,..,..,..,71,70,75,71,73,81,84,80,85,79,81,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Syrian Arab Republic,SYR,80,80,80,79,80,80,72,45,41,43,41,42,48,47,54,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,South Africa,ZAF,82,84,84,80,77,72,71,69,79,85,85,76,76,74,77,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,"Congo, Dem. Rep.",COD,..,..,..,..,72,60,74,75,68,68,63,57,57,57,57,..
"Immunization, Hib3 (% of children ages 12-23 months)",SH.IMM.HIB3,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Brazil,BRA,99,99,99,99,99,99,99,99,99,99,99,90,91,92,79,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Mexico,MEX,99,99,99,99,99,98,99,99,91,96,98,99,94,96,76,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Niger,NER,64,69,73,78,86,81,53,85,43,87,94,91,92,87,70,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Syrian Arab Republic,SYR,90,91,93,93,95,97,90,82,84,81,66,72,78,79,84,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,South Africa,ZAF,76,79,79,84,82,81,84,86,88,93,83,90,75,70,84,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,"Congo, Dem. Rep.",COD,72,72,80,78,85,85,66,83,82,77,72,73,73,73,73,..
"Immunization, BCG (% of one-year-old children)",SH.IMM.IBCG,Thailand,THA,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,United States,USA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Brazil,BRA,..,..,..,..,..,..,..,..,..,..,13940,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,1303,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Niger,NER,..,..,..,..,..,..,..,..,..,263,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,South Africa,ZAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,"Congo, Dem. Rep.",COD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Number of surgical procedures (per 100,000 population)",SH.SGR.PROC.P5,Thailand,THA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Number of infant deaths,SH.DTH.IMRT,Canada,CAN,1800,1825,1845,1860,1869,1871,1866,1855,1839,1820,1799,1777,1757,1736,1715,1692
Number of infant deaths,SH.DTH.IMRT,United States,USA,27762,27585,27261,26788,26200,25530,24844,24184,23594,23089,22671,22334,22068,21847,21652,21451
Number of infant deaths,SH.DTH.IMRT,Brazil,BRA,71001,65431,60568,56392,52929,50020,47673,45811,44313,43119,42104,44108,40403,39558,38646,37657
Number of infant deaths,SH.DTH.IMRT,Mexico,MEX,44987,43211,41560,40080,38731,37469,36250,35073,33910,32728,31538,30368,29178,28010,26892,25833
Number of infant deaths,SH.DTH.IMRT,Niger,NER,54068,53134,52212,51328,50485,49717,49094,48672,48391,48300,48248,48327,48455,48635,48787,49022
Number of infant deaths,SH.DTH.IMRT,Syrian Arab Republic,SYR,9479,9499,9503,9459,9367,9221,9253,12537,13748,13572,12055,11303,8252,8095,7787,7745
Number of infant deaths,SH.DTH.IMRT,South Africa,ZAF,53752,54092,52751,49598,44926,40694,38338,37180,36173,35302,34249,33356,32777,31810,30937,30153
Number of infant deaths,SH.DTH.IMRT,"Congo, Dem. Rep.",COD,232115,233253,234120,235005,235715,236037,236137,235825,235182,234519,233407,232148,230172,228461,226753,225011
Number of infant deaths,SH.DTH.IMRT,Thailand,THA,12466,11740,11069,10438,9838,9277,8738,8236,7774,7343,6932,6543,6178,5834,5503,5191
Number of under-five deaths,SH.DTH.MORT,Canada,CAN,2088,2108,2126,2139,2147,2148,2142,2129,2110,2086,2061,2035,2009,1984,1958,1929
Number of under-five deaths,SH.DTH.MORT,United States,USA,32674,32448,32061,31513,30828,30050,29249,28469,27757,27137,26612,26176,25817,25515,25248,24976
Number of under-five deaths,SH.DTH.MORT,Brazil,BRA,80324,73913,68307,63489,59488,56169,53485,51352,49646,48290,47147,49408,45255,44324,43325,42241
Number of under-five deaths,SH.DTH.MORT,Mexico,MEX,53034,50831,48819,47006,45349,43803,42317,40891,39492,38098,36715,35358,33972,32617,31317,30081
Number of under-five deaths,SH.DTH.MORT,Niger,NER,112458,108652,104876,101203,97652,94332,91450,89162,87289,85944,84709,83815,83031,82367,81614,81065
Number of under-five deaths,SH.DTH.MORT,Syrian Arab Republic,SYR,10997,11017,11031,11002,10928,10798,11223,20409,24234,24224,20429,18600,10506,10182,9473,9471
Number of under-five deaths,SH.DTH.MORT,South Africa,ZAF,84721,86629,83796,77985,69407,60679,53903,49417,47013,45130,43546,42080,41205,40146,38969,37807
Number of under-five deaths,SH.DTH.MORT,"Congo, Dem. Rep.",COD,325913,324260,322285,320463,318497,316388,314136,311744,308923,306283,303017,299716,295310,291464,287617,283864
Number of under-five deaths,SH.DTH.MORT,Thailand,THA,14588,13723,12927,12183,11481,10826,10199,9616,9079,8581,8106,7658,7237,6839,6455,6094
Number of deaths ages 20-24 years,SH.DTH.2024,Canada,CAN,1307,1311,1307,1298,1288,1276,1256,1249,1263,1292,1325,1352,1366,1365,1349,1325
Number of deaths ages 20-24 years,SH.DTH.2024,United States,USA,20208,20399,20301,19942,19418,18902,18706,18800,19246,19981,20745,21292,21433,21133,20515,19828
Number of deaths ages 20-24 years,SH.DTH.2024,Brazil,BRA,27299,27197,27163,27191,27291,27462,27640,27774,27885,27945,27893,27655,27206,26465,25447,24372
Number of deaths ages 20-24 years,SH.DTH.2024,Mexico,MEX,9637,9860,10399,11213,12107,12856,13264,13135,12758,12611,12938,13547,14169,14770,15457,16242
Number of deaths ages 20-24 years,SH.DTH.2024,Niger,NER,4394,4502,4640,4790,4951,5119,5290,5479,5679,5894,6112,6325,6540,6779,7028,7283
Number of deaths ages 20-24 years,SH.DTH.2024,Syrian Arab Republic,SYR,1111,1175,1228,1258,1263,1245,1781,6967,9188,9088,7085,6196,6795,4625,2842,2154
Number of deaths ages 20-24 years,SH.DTH.2024,South Africa,ZAF,28082,27678,26798,25485,23909,22211,20471,18910,17537,16373,15412,14589,13850,13162,12529,11940
Number of deaths ages 20-24 years,SH.DTH.2024,"Congo, Dem. Rep.",COD,21274,21687,22171,22737,23355,24005,24631,25283,25909,26492,27116,27854,28587,29183,29933,30724
Number of deaths ages 20-24 years,SH.DTH.2024,Thailand,THA,9723,8966,8279,7697,7238,6874,6613,6452,6409,6465,6557,6646,6676,6629,6504,6337
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Canada,CAN,7.1,7,7.1,7.2,7.1,7,7.1,7.1,7.2,7.3,7.4,7.4,7.5,7.7,7.6,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.3,8.1,8,8.1,7.9,7.995,8.073,8.102,8.215,8.237,8.44,8.493,8.638,8.678,8.7,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Brazil,BRA,6.037,6.022,6.016,6.017,6.027,6.045,6.071,6.106,6.147,6.195,6.25,6.311,6.378,6.452,6.531,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Mexico,MEX,4.792,4.869,4.961,5.06,5.163,5.266,5.369,5.471,5.572,5.67,5.763,5.851,5.933,6.01,6.082,..
